Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8
12244,6,71000,42,47,63.03,20.96,27.65
12255,6,72000,45,47,65.07,20.96,27.65
12266,6,73000,45,49,66.53,20.96,27.65
12278,6,74000,44,49,65.86,20.96,27.65
12289,6,75000,47,49,67.9,20.96,27.65
12300,6,76000,44,50,66.6,20.96,27.65
12310,6,77000,43,54,69.03,20.96,27.65
12322,6,78000,43,52,67.48,20.96,27.65
12333,6,79000,45,56,71.84,20.96,27.65
12344,6,80000,44,56,71.22,20.96,27.65
12355,6,81000,43,56,70.6,20.96,27.65
12367,6,82000,45,58,73.41,20.96,27.65
12378,6,83000,43,59,73.01,20.96,27.65
12389,6,84000,44,59,73.6,20.96,27.65
12401,6,85000,42,60,73.24,20.96,27.65
12412,6,86000,44,66,79.32,20.96,27.65
12423,6,87000,44,66,79.32,20.96,27.65
12434,6,88000,43,65,77.94,20.96,27.65
12445,6,89000,41,70,81.12,20.96,27.65
12456,6,90000,40,67,78.03,20.96,27.65
12467,6,91000,39,71,81.01,20.96,27.65
12478,6,92000,40,72,82.37,20.96,27.65
12490,6,93000,41,74,84.6,20.96,27.65
12501,6,94000,38,74,83.19,20.96,27.65
12511,6,95000,40,78,87.66,20.96,27.65
12522,6,96000,39,75,84.53,20.96,27.65
12534,6,97000,34,78,85.09,20.96,27.65
12545,6,98000,41,82,91.68,20.96,27.65
12556,6,99000,33,77,83.77,20.96,27.65
12567,6,100000,38,82,90.38,20.96,27.65
12579,6,101000,33,79,85.62,20.96,27.65
12942,7,1000,-16862,1074,16896.17,20.96,27.65
13074,7,2000,279,-35,281.19,20.96,27.65
13164,7,3000,137,-26,139.45,20.96,27.65
13234,7,4000,53,-14,54.82,20.96,27.65
13290,7,5000,25,-7,25.96,20.96,27.65
13339,7,6000,28,-10,29.73,20.96,27.65
13381,7,7000,33,-13,35.47,20.96,27.65
13417,7,8000,16,-7,17.46,20.96,27.65
13451,7,9000,13,-6,14.32,20.96,27.65
13483,7,10000,15,-7,16.55,20.96,27.65
13512,7,11000,20,-10,22.36,20.96,27.65
13538,7,12000,11,-2,11.18,20.96,27.65
13564,7,13000,11,0,11,20.96,27.65
13588,7,14000,15,-5,15.81,20.96,27.65
13611,7,15000,15,-4,15.52,20.96,27.65
13632,7,16000,13,0,13,20.96,27.65
13653,7,17000,14,0,14,20.96,27.65
13673,7,18000,19,-2,19.1,20.96,27.65
13693,7,19000,21,-4,21.38,20.96,27.65
13711,7,20000,17,5,17.72,20.96,27.65
13729,7,21000,19,3,19.24,20.96,27.65
13746,7,22000,20,2,20.1,20.96,27.65
13762,7,23000,21,2,21.1,20.96,27.65
13779,7,24000,20,7,21.19,20.96,27.65
13795,7,25000,20,2,20.1,20.96,27.65
13811,7,26000,23,4,23.35,20.96,27.65
13826,7,27000,24,3,24.19,20.96,27.65
13841,7,28000,25,9,26.57,20.96,27.65
13856,7,29000,25,8,26.25,20.96,27.65
13870,7,30000,25,7,25.96,20.96,27.65
13884,7,31000,28,8,29.12,20.96,27.65
13899,7,32000,30,10,31.62,20.96,27.65
13912,7,33000,29,10,30.68,20.96,27.65
13925,7,34000,28,9,29.41,20.96,27.65
13938,7,35000,27,10,28.79,20.96,27.65
13951,7,36000,36,14,38.63,20.96,27.65
13964,7,37000,29,14,32.2,20.96,27.65
13976,7,38000,29,14,32.2,20.96,27.65
13989,7,39000,32,16,35.78,20.96,27.65
14001,7,40000,33,18,37.59,20.96,27.65
14013,7,41000,33,15,36.25,20.96,27.65
14026,7,42000,32,17,36.24,20.96,27.65
14037,7,43000,34,21,39.96,20.96,27.65
14049,7,44000,40,19,44.28,20.96,27.65
14060,7,45000,38,19,42.49,20.96,27.65
14072,7,46000,37,20,42.06,20.96,27.65
14083,7,47000,37,20,42.06,20.96,27.65
14094,7,48000,37,21,42.54,20.96,27.65
14106,7,49000,39,24,45.79,20.96,27.65
14117,7,50000,38,22,43.91,20.96,27.65
14128,7,51000,37,26,45.22,20.96,27.65
14139,7,52000,39,26,46.87,20.96,27.65
14150,7,53000,37,28,46.4,20.96,27.65
14161,7,54000,41,27,49.09,20.96,27.65
14171,7,55000,40,27,48.26,20.96,27.65
14182,7,56000,41,27,49.09,20.96,27.65
14192,7,57000,40,30,50,20.96,27.65
14202,7,58000,38,30,48.41,20.96,27.65
14212,7,59000,41,31,51.4,20.96,27.65
14222,7,60000,43,35,55.44,20.96,27.65
14232,7,61000,38,33,50.33,20.96,27.65
14244,7,62000,40,37,54.49,20.96,27.65
14255,7,63000,43,35,55.44,20.96,27.65
14265,7,64000,44,37,57.49,20.96,27.65
14277,7,65000,42,41,58.69,20.96,27.65
14288,7,66000,43,39,58.05,20.96,27.65
14299,7,67000,44,38,58.14,20.96,27.65
14310,7,68000,43,40,58.73,20.96,27.65
14322,7,69000,42,44,60.83,20.96,27.65
14332,7,70000,43,43,60.81,20.96,27.65
14343,7,71000,42,46,62.29,20.96,27.65
14354,7,72000,45,48,65.8,20.96,27.65
14366,7,73000,45,48,65.8,20.96,27.65
14377,7,74000,43,51,66.71,20.96,27.65
14388,7,75000,45,48,65.8,20.96,27.65
14398,7,76000,46,50,67.94,20.96,27.65
14410,7,77000,44,52,68.12,20.96,27.65
14421,7,78000,45,53,69.53,20.96,27.65
14432,7,79000,42,53,67.62,20.96,27.65
14443,7,80000,44,55,70.43,20.96,27.65
14455,7,81000,42,57,70.8,20.96,27.65
14466,7,82000,42,59,72.42,20.96,27.65
14477,7,83000,40,60,72.11,20.96,27.65
14488,7,84000,44,60,74.4,20.96,27.65
14500,7,85000,41,61,73.5,20.96,27.65
14511,7,86000,40,61,72.95,20.96,27.65
14522,7,87000,42,66,78.23,20.96,27.65
14533,7,88000,41,65,76.85,20.96,27.65
14544,7,89000,40,68,78.89,20.96,27.65
14555,7,90000,41,64,76.01,20.96,27.65
14566,7,91000,40,66,77.18,20.96,27.65
14578,7,92000,41,70,81.12,20.96,27.65
14588,7,93000,39,74,83.65,20.96,27.65
14599,7,94000,41,72,82.86,20.96,27.65
14610,7,95000,36,71,79.61,20.96,27.65
14622,7,96000,33,72,79.2,20.96,27.65
14633,7,97000,45,79,90.92,20.96,27.65
14644,7,98000,38,80,88.57,20.96,27.65
14655,7,99000,36,81,88.64,20.96,27.65
14667,7,100000,36,80,87.73,20.96,27.65
14678,7,101000,33,82,88.39,20.96,27.65
15041,8,1000,-16862,1074,16896.17,20.96,27.65
15174,8,2000,280,-37,282.43,20.96,27.65
15264,8,3000,137,-26,139.45,20.96,27.65
15333,8,4000,54,-15,56.04,20.96,27.65
15390,8,5000,25,-9,26.57,20.96,27.65
15438,8,6000,28,-10,29.73,20.96,27.65
15480,8,7000,31,-14,34.01,20.96,27.65
15517,8,8000,15,-9,17.49,20.96,27.65
15550,8,9000,14,-7,15.65,20.96,27.65
15582,8,10000,15,-6,16.16,20.96,27.65
15611,8,11000,19,-10,21.47,20.96,27.65
15637,8,12000,11,-1,11.05,20.96,27.65
15663,8,13000,10,1,10.05,20.96,27.65
15688,8,14000,15,-3,15.3,20.96,27.65
15710,8,15000,15,-3,15.3,20.96,27.65
15732,8,16000,17,1,17.03,20.96,27.65
15752,8,17000,13,1,13.04,20.96,27.65
15773,8,18000,17,-2,17.12,20.96,27.65
15792,8,19000,18,-5,18.68,20.96,27.65
15810,8,20000,17,4,17.46,20.96,27.65
15828,8,21000,19,4,19.42,20.96,27.65
15845,8,22000,19,-1,19.03,20.96,27.65
15863,8,23000,21,3,21.21,20.96,27.65
15878,8,24000,23,3,23.19,20.96,27.65
15894,8,25000,21,3,21.21,20.96,27.65
15910,8,26000,23,4,23.35,20.96,27.65
15925,8,27000,24,2,24.08,20.96,27.65
15941,8,28000,23,8,24.35,20.96,27.65
15955,8,29000,25,7,25.96,20.96,27.65
15969,8,30000,28,8,29.12,20.96,27.65
15984,8,31000,26,7,26.93,20.96,27.65
15998,8,32000,26,9,27.51,20.96,27.65
16011,8,33000,27,11,29.15,20.96,27.65
16024,8,34000,28,11,30.08,20.96,27.65
16038,8,35000,26,7,26.93,20.96,27.65
16051,8,36000,31,17,35.36,20.96,27.65
16063,8,37000,27,13,29.97,20.96,27.65
16077,8,38000,33,16,36.67,20.96,27.65
16089,8,39000,32,12,34.18,20.96,27.65
16101,8,40000,34,16,37.58,20.96,27.65
16114,8,41000,33,15,36.25,20.96,27.65
16125,8,42000,32,15,35.34,20.96,27.65
16137,8,43000,37,16,40.31,20.96,27.65
16149,8,44000,41,16,44.01,20.96,27.65
16161,8,45000,33,19,38.08,20.96,27.65
16172,8,46000,38,20,42.94,20.96,27.65
16183,8,47000,39,21,44.29,20.96,27.65
16194,8,48000,41,22,46.53,20.96,27.65
16206,8,49000,37,21,42.54,20.96,27.65
16217,8,50000,37,23,43.57,20.96,27.65
16228,8,51000,38,23,44.42,20.96,27.65
16238,8,52000,41,24,47.51,20.96,27.65
16250,8,53000,41,26,48.55,20.96,27.65
16260,8,54000,42,26,49.4,20.96,27.65
16271,8,55000,39,30,49.2,20.96,27.65
16282,8,56000,43,30,52.43,20.96,27.65
16292,8,57000,39,31,49.82,20.96,27.65
16302,8,58000,38,34,50.99,20.96,27.65
16312,8,59000,41,30,50.8,20.96,27.65
16322,8,60000,42,32,52.8,20.96,27.65
16333,8,61000,40,37,54.49,20.96,27.65
16343,8,62000,42,36,55.32,20.96,27.65
16354,8,63000,43,35,55.44,20.96,27.65
16365,8,64000,45,35,57.01,20.96,27.65
16377,8,65000,39,37,53.76,20.96,27.65
16388,8,66000,42,41,58.69,20.96,27.65
16398,8,67000,43,38,57.38,20.96,27.65
16410,8,68000,44,41,60.14,20.96,27.65
16421,8,69000,41,43,59.41,20.96,27.65
16432,8,70000,44,44,62.23,20.96,27.65
16443,8,71000,43,44,61.52,20.96,27.65
16455,8,72000,42,48,63.78,20.96,27.65
16466,8,73000,42,50,65.3,20.96,27.65
16477,8,74000,44,45,62.94,20.96,27.65
16488,8,75000,43,50,65.95,20.96,27.65
16499,8,76000,42,50,65.3,20.96,27.65
16510,8,77000,43,51,66.71,20.96,27.65
16521,8,78000,42,54,68.41,20.96,27.65
16532,8,79000,43,54,69.03,20.96,27.65
16544,8,80000,43,56,70.6,20.96,27.65
16555,8,81000,45,57,72.62,20.96,27.65
16566,8,82000,43,58,72.2,20.96,27.65
16577,8,83000,42,56,70,20.96,27.65
16589,8,84000,42,60,73.24,20.96,27.65
16599,8,85000,41,60,72.67,20.96,27.65
16610,8,86000,41,64,76.01,20.96,27.65
16621,8,87000,41,63,75.17,20.96,27.65
16633,8,88000,42,65,77.39,20.96,27.65
16644,8,89000,43,66,78.77,20.96,27.65
16655,8,90000,39,67,77.52,20.96,27.65
16666,8,91000,38,64,74.43,20.96,27.65
16677,8,92000,41,71,81.99,20.96,27.65
16688,8,93000,43,73,84.72,20.96,27.65
16699,8,94000,38,72,81.41,20.96,27.65
16711,8,95000,40,75,85,20.96,27.65
16722,8,96000,39,77,86.31,20.96,27.65
16733,8,97000,39,81,89.9,20.96,27.65
16744,8,98000,38,83,91.29,20.96,27.65
16756,8,99000,34,78,85.09,20.96,27.65
16767,8,100000,37,81,89.05,20.96,27.65
16778,8,101000,36,81,88.64,20.96,27.65
